Prodotto,Quantità,Prezzo Unitario,Città
Insalata,7,18.56,Palermo
Noci,10,6.57,Perugia
Pomodori,42,2.02,Torino
Banane,23,13.92,Reggio Emilia
Senape,1,5.54,Venezia
Semi di chia,35,1.56,Parma
Quaderno,3,2.56,Reggio Emilia
Pollo,33,12.32,Roma
Shampoo,5,6.08,Bolzano
Biscotti,30,9.75,Cagliari
Farina,36,2.53,Roma
Dentifricio,21,3.31,Milano
Farina,13,11.13,Taranto
Broccoli,12,17.01,Messina
Salsa,17,12.8,Perugia
Gamberetti,2,6.01,Milano
Sapone,14,5.03,Trento
Insalata,22,19.49,Verona
Acqua,10,17.53,Reggio Emilia
Vino,5,9.03,Milano
Quaderno,5,5.29,Padova
Pesce,21,4.75,Cagliari
Mele,28,29.28,Foggia
Formaggio,1,7.01,Parma
Spezie,3,27.93,Forlì
Uova,10,26.98,Bergamo
Gelato,22,5.81,Prato
Aglio,18,4.33,Bologna
Melanzane,13,7.94,Venezia
Batterie,22,4.95,Bolzano
Broccoli,20,28.04,Palermo
Salmone,3,19.29,Torino
Latte di soia,17,16.72,Venezia
Batterie,15,8.64,Prato
Scarpe,42,132.56,Milano
Ketchup,2,21.96,Reggio Emilia
Banane,19,25.07,Bologna
Acqua,12,15.99,Trieste
Pomodori,46,5.19,Prato
Zucchero,27,27.58,Bari
Birra,1,15.57,Modena
Carta igienica,15,8.45,Ravenna
Pane integrale,1,9.75,Torino
Panna,26,4.89,Livorno
Pesce,17,19.52,Messina
Cetrioli,21,19.53,Roma
Dentifricio,5,5.1,Roma
Lenticchie,18,5.59,Ravenna
Ketchup,18,12.25,Reggio Calabria
Pasta,25,0.6,Bologna
Panna,37,21.87,Foggia
Pollo,20,3.84,Brescia
Olio d'oliva,29,32.84,Bari
Noci,13,4.65,Padova
Riso,6,21.78,Modena
Semi di chia,5,20.67,Padova
Tofu,4,24.45,Torino
Dentifricio,10,14.44,Torino
Mele,27,1.2,Reggio Emilia
Spinaci,6,8.77,Perugia
Panna,19,13.23,Palermo
Cornflakes,4,22.92,Firenze
Salmone,20,8.14,Milano
Zucchero,25,2.96,Forlì
Dentifricio,8,9.57,Bergamo
Pollo,7,16.79,Firenze
Marmellata,18,20.36,Trieste
Aspirapolvere,6,384.29,Modena
Carote,20,13.14,Trieste
Senape,39,10.87,Parma
Carta igienica,9,8.86,Trento
Mele,27,7.71,Livorno
Occhiali da sole,11,168.31,Prato
Cipolle,3,8.28,Firenze
Marmellata,26,24.15,Genova
Uova,2,19.94,Livorno
Arance,25,15.63,Roma
Ketchup,26,13.27,Napoli
Mandorle,44,28.44,Modena
Insalata,1,18.71,Taranto
Panna,19,19.31,Livorno
Latte,5,24.19,Napoli
Tonno,15,5.82,Perugia
Lenticchie,39,16.1,Bolzano
Carote,10,21.87,Perugia
Batterie,32,3.79,Bergamo
Spezie,24,8.22,Trieste
Gamberetti,15,11.56,Taranto
Mele,43,16.28,Ravenna
Yogurt,24,26.47,Roma
Marmellata,2,2.68,Bari
Penna,19,2.64,Milano
Semi di chia,45,24.89,Bologna
Orologio,15,346.59,Modena
Aglio,5,21.47,Bari
Yogurt,15,1.65,Napoli
Dentifricio,15,14.13,Padova
Salmone,17,13.97,Brescia
Marmellata,22,3.71,Prato
Melanzane,25,22.61,Bari
Mandorle,28,22.64,Bergamo
Uova,9,3.25,Brescia
Salame,10,8.41,Livorno
Zucchine,6,23.85,Perugia
Vino,24,78.94,Trento
Cappotto,13,190.14,Prato
Vino,28,29.02,Roma
Biscotti,18,26.82,Livorno
Spinaci,6,24.22,Ravenna
Pesce,19,13.75,Livorno
Lenticchie,40,5.06,Parma
Manzo,17,11.27,Trento
Aglio,27,18.3,Brescia
Occhiali da sole,6,111.08,Forlì
Salsa,34,28.5,Reggio Emilia
Melanzane,10,21.39,Palermo
Maglietta,27,44.88,Ravenna
Mele,26,28.66,Modena
Spezie,11,17.68,Livorno
Tè,37,20.18,Roma
Detersivo,24,12.17,Cagliari
Latte di soia,33,7.75,Forlì
Pane integrale,3,10.69,Reggio Calabria
Cipolle,2,18.12,Parma
Maionese,8,23.94,Trieste
Peperoni,21,2.36,Reggio Emilia
Peperoni,13,19.26,Foggia
Jeans,5,90.53,Padova
Maglietta,21,46.84,Venezia
Acqua,9,27.45,Bolzano
Yogurt,42,22.9,Torino
Burro,13,0.58,Modena
Dentifricio,47,10.48,Modena
Marmellata,21,20.72,Padova
Mandorle,31,12.34,Forlì
Tofu,7,22.66,Ravenna
Piselli,15,7.0,Bergamo
Spezie,8,5.56,Foggia
Fagioli,4,3.47,Roma
Semi di chia,1,6.44,Trieste
Farina,2,22.48,Perugia
Cioccolato,16,12.35,Ravenna
Senape,30,5.48,Modena
Salame,4,8.25,Trieste
Formaggio,4,9.77,Messina
Riso,29,17.3,Venezia
Gamberetti,8,14.18,Taranto
Jeans,4,115.72,Venezia
Latte di soia,14,15.2,Reggio Emilia
Burro,14,5.49,Foggia
Olio d'oliva,30,25.05,Genova
Gelato,25,28.48,Trieste
Pollo,20,26.05,Trieste
Dentifricio,16,3.35,Brescia
Insalata,8,19.15,Livorno
Cetrioli,31,19.35,Napoli
Piselli,21,0.97,Forlì
Olio d'oliva,19,41.3,Ravenna
Riso,20,5.34,Reggio Emilia
Banane,33,9.09,Livorno
Latte di soia,35,9.8,Parma
Riso,15,3.41,Verona
Marmellata,11,19.89,Trieste
Mele,12,11.17,Taranto
Pasta,13,16.38,Bergamo
Sapone,1,5.18,Brescia
Lenticchie,29,16.22,Brescia
Latte,4,23.89,Taranto
Pane,19,28.84,Bolzano
Alghe,30,6.36,Firenze
Farina,11,20.19,Trieste
Pollo,39,5.66,Bergamo
Fagioli,33,24.55,Perugia
Uova,3,8.43,Taranto
Carta igienica,5,3.36,Ravenna
Tofu,24,13.45,Bergamo
Cornflakes,21,11.47,Roma
Pesce,45,6.49,Verona
Noci,38,4.78,Roma
Aglio,12,13.39,Forlì
Aspirapolvere,29,265.6,Padova
Pollo,39,11.97,Livorno
Mandorle,14,18.19,Perugia
Jeans,25,135.39,Cagliari
Shampoo,18,15.17,Firenze
Birra,18,26.2,Bergamo
Cioccolato,15,7.83,Trieste
Burro,7,24.32,Reggio Emilia
Pomodori,7,3.92,Milano
Shampoo,18,9.8,Reggio Calabria
Spezie,41,8.02,Bologna
Zucchero,26,6.15,Cagliari
Salmone,2,29.98,Roma
Batterie,23,1.94,Milano
Quaderno,11,0.83,Perugia
Broccoli,1,18.43,Ravenna
Spinaci,41,28.43,Brescia
Tonno,19,6.61,Torino
Carta igienica,3,8.04,Roma
Vino,2,58.46,Venezia
Pasta,7,23.04,Messina
Arance,24,1.17,Palermo
Carta igienica,1,5.24,Palermo
Mandorle,1,20.0,Perugia
Acqua,19,28.83,Padova
Maionese,15,21.05,Verona
Carta igienica,18,1.69,Prato
Pane,15,29.0,Perugia
Shampoo,27,3.17,Trento
Lenticchie,14,12.01,Taranto
Cappotto,12,188.37,Napoli
Biscotti,17,28.58,Perugia
Cipolle,18,27.85,Ravenna
Detersivo,9,3.89,Bolzano
Vino,37,84.93,Firenze
Salsa,20,21.62,Firenze
Biscotti,25,26.14,Genova
Alghe,15,28.48,Trento
Farina,6,18.98,Livorno
Farina,39,15.73,Padova
