Prodotto,Quantità,Prezzo Unitario,Città
Pomodori,17.0,27.22,Prato
Pane,22.0,44.43,Torino
Pomodori,5.0,20.97,Palermo
Zucchero,21.0,25.83,Roma
Vino,26.0,8.88,Bologna
Yogurt,49.0,15.76,Palermo
Acqua,2.0,39.15,Parma
Riso,27.0,30.74,Palermo
Yogurt,11.0,36.9,Firenze
Mele,42.0,19.16,Messina
Arance,10.0,36.04,Modena
Manzo,25.0,24.27,Parma
Succo,3.0,15.43,Napoli
Patate,41.0,27.15,Padova
Latte,13.0,44.17,Venezia
Burro,32.0,45.12,
Succo,36.0,48.23,Venezia
Vino,29.0,39.51,Taranto
Tè,38.0,7.54,Trieste
Patate,43.0,18.9,Roma
Pomodori,22.0,14.9,Modena
Farina,41.0,37.03,Napoli
Uova,,23.54,Padova
Olio d'oliva,30.0,4.51,Venezia
Pomodori,41.0,8.87,Roma
Insalata,33.0,9.25,Taranto
Acqua,16.0,42.81,Bologna
Zucchero,7.0,31.05,Padova
Birra,13.0,49.72,Roma
Vino,14.0,1.38,Bari
Formaggio,26.0,7.68,Padova
Vino,,17.75,Cagliari
Banane,,5.28,Milano
Pane,10.0,37.23,Firenze
Carote,39.0,44.23,Bologna
Cipolle,,35.7,Brescia
Uova,45.0,14.1,Palermo
Farina,33.0,48.54,Genova
Zucchero,50.0,1.97,Bologna
Tè,,33.02,Parma
Pasta,7.0,12.09,Milano
Birra,29.0,39.05,Firenze
Burro,4.0,45.0,Venezia
Succo,43.0,8.15,Firenze
Riso,41.0,33.6,Palermo
Cipolle,39.0,19.45,Roma
Formaggio,25.0,32.42,Torino
Biscotti,32.0,31.25,Genova
Caffè,10.0,17.21,Napoli
Farina,23.0,48.95,Palermo
Caffè,20.0,23.58,Prato
Banane,18.0,48.21,Venezia
Yogurt,23.0,26.58,
Cipolle,5.0,32.26,Bologna
Uova,17.0,22.14,Prato
Manzo,49.0,24.51,Torino
Birra,8.0,7.1,
Birra,4.0,47.66,Verona
Pomodori,14.0,28.18,Padova
Formaggio,,39.45,Modena
Succo,18.0,26.68,Cagliari
Birra,18.0,42.63,Torino
Uova,29.0,38.76,Modena
Pollo,48.0,5.79,Roma
Caffè,48.0,20.11,Taranto
Birra,37.0,16.64,Torino
Tè,18.0,22.69,Padova
Latte,36.0,31.62,Trieste
Burro,,49.49,Milano
Carote,5.0,28.77,Torino
Patate,45.0,45.84,Napoli
Cioccolato,35.0,46.45,
Manzo,31.0,39.64,Napoli
Acqua,9.0,39.52,Padova
Patate,,48.9,Modena
Pollo,44.0,41.57,Verona
Manzo,17.0,18.49,Napoli
Olio d'oliva,7.0,9.37,Genova
Latte,47.0,33.2,Torino
Manzo,21.0,48.23,Palermo
Uova,,38.98,Trieste
Acqua,13.0,10.54,Milano
Zucchero,32.0,7.4,Torino
Cioccolato,50.0,25.01,
Biscotti,44.0,19.43,Torino
Pomodori,44.0,48.19,
Uova,33.0,5.51,Brescia
Pane,28.0,46.85,Padova
Zucchero,17.0,39.21,Bologna
Formaggio,35.0,40.39,Brescia
Pesce,,15.83,Firenze
Mele,37.0,32.53,Torino
Insalata,22.0,9.31,
Arance,9.0,12.54,Palermo
Birra,30.0,16.66,Venezia
Caffè,,26.48,Padova
Uova,10.0,3.09,Trieste
Succo,14.0,46.32,Bologna
Riso,28.0,32.01,
Tè,3.0,19.94,
Succo,48.0,8.69,Bari
Olio d'oliva,16.0,17.42,Napoli
Cioccolato,21.0,21.5,Firenze
Banane,3.0,13.85,Firenze
Biscotti,43.0,26.2,Bari
Olio d'oliva,33.0,43.15,Firenze
Olio d'oliva,28.0,24.27,Taranto
Birra,8.0,27.92,Trieste
Pane,3.0,26.87,
Pomodori,30.0,43.3,Venezia
Vino,31.0,41.53,
Arance,49.0,28.1,Brescia
Insalata,46.0,39.15,Palermo
Caffè,48.0,34.27,Taranto
Pesce,13.0,25.68,Genova
Pesce,30.0,24.0,Verona
Vino,20.0,11.96,Taranto
Mele,,36.95,Roma
Pasta,35.0,0.88,Modena
Tè,21.0,27.83,Torino
Banane,28.0,47.09,Messina
Mele,35.0,49.76,Milano
Caffè,17.0,44.7,Modena
Tè,8.0,40.04,Parma
Uova,37.0,3.79,Taranto
Riso,40.0,26.51,Napoli
Pesce,7.0,36.43,Padova
Farina,,20.46,
Patate,31.0,40.65,Trieste
Farina,37.0,1.33,Trieste
Zucchero,11.0,30.51,Palermo
Biscotti,34.0,12.39,Firenze
Burro,14.0,29.14,Parma
Pane,45.0,40.79,Venezia
Cipolle,15.0,5.2,Taranto
Banane,23.0,23.1,Messina
Pesce,21.0,2.1,Parma
Succo,48.0,5.81,Brescia
Pane,23.0,15.11,Trieste
Yogurt,35.0,42.17,Roma
Pollo,30.0,33.87,Bari
Mele,39.0,22.36,Torino
Uova,29.0,49.47,Bologna
Caffè,,31.03,Trieste
Pomodori,6.0,27.05,Palermo
Birra,42.0,29.31,Trieste
Patate,14.0,0.9,Torino
Succo,41.0,49.63,Roma
Caffè,22.0,36.81,
Olio d'oliva,9.0,37.7,Palermo
Pollo,25.0,41.7,Torino
Burro,,6.65,Messina
Pasta,,26.83,Modena
Birra,37.0,2.45,Verona
Farina,49.0,37.35,
Riso,9.0,17.59,Taranto
Formaggio,35.0,41.56,
Carote,,11.91,Padova
Pollo,34.0,30.55,Trieste
Patate,38.0,20.08,Trieste
Acqua,9.0,7.99,Verona
Cipolle,7.0,6.63,Bologna
Banane,21.0,40.85,Genova
Formaggio,32.0,2.56,Firenze
Olio d'oliva,14.0,21.77,Roma
Olio d'oliva,3.0,33.22,Genova
Pesce,32.0,48.13,Bari
Olio d'oliva,7.0,34.02,Roma
Olio d'oliva,34.0,20.19,Modena
Pomodori,40.0,16.66,
Patate,14.0,30.7,Roma
Uova,43.0,3.46,Napoli
Vino,,6.37,Taranto
Succo,45.0,41.9,Torino
Pesce,24.0,12.56,Genova
Succo,5.0,10.08,Firenze
Pane,32.0,18.21,
Burro,18.0,15.87,Taranto
Manzo,24.0,27.48,Padova
Caffè,39.0,2.21,Genova
Pesce,15.0,47.35,Parma
Yogurt,34.0,45.18,Messina
Carote,29.0,19.11,Taranto
Mele,16.0,48.74,Verona
Biscotti,46.0,28.97,Napoli
Vino,14.0,10.84,Venezia
Vino,13.0,44.42,
Farina,3.0,25.85,Modena
Cioccolato,14.0,21.04,Padova
Carote,45.0,13.57,Parma
Caffè,9.0,33.35,Firenze
Pane,4.0,14.32,Padova
Vino,50.0,45.16,Bari
Manzo,1.0,19.85,Bologna
Yogurt,37.0,11.1,
Pesce,7.0,19.21,Torino
Farina,23.0,31.47,Prato
Burro,40.0,31.02,Genova
Olio d'oliva,19.0,44.22,Messina
Pomodori,17.0,8.35,
Arance,34.0,44.79,Venezia
Cioccolato,5.0,32.38,Napoli
Zucchero,32.0,11.74,Firenze
Tè,36.0,13.66,Palermo
Arance,17.0,8.11,Trieste
